Id,Artist,Track,Album,Album_type,Uri,Danceability_x,Energy_x,Key,Loudness,Speechiness_x,Acousticness_x,Instrumentalness,Liveness_x,Valence_x,Tempo,Duration_ms,Title_x,Channel,Views,Likes,Comments,Licensed,official_video,Stream,Album Name,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track,Index,Title_y,Top Genre,Year,Beats Per Minute (BPM),Energy_y,Danceability_y,Loudness (dB),Liveness_y,Valence_y,Length (Duration),Acousticness_y,Speechiness_y,Popularity
449,Mariah Carey,all i want for christmas is you,Merry Christmas,album,spotify:track:0bYg9bo50gSsH3LtXe2SQn,0.336,0.627,7.0,-7.463,0.0384,0.164,0.0,0.0708,0.35,150.273,241107.0,Mariah Carey - All I Want For Christmas Is You (Official Video),MariahCareyVEVO,753218999.0,3874002.0,249083.0,True,True,1437977604.0,Merry Christmas,1/1/1994,USSM19400325,"2,097",31.5,"1,810,649,765","109,411","45,003,974",60.0,"824,500,156","7,455,155","18,894,720","1,432,227,925","15,963,128,797","29,891,688",418.0,"131,873",139,143.0,"1,390,899",125.0,"304,497,253","3,556,791","1,273,462","6,531,412",,0,1642,all i want for christmas is you,dance pop,1994,150,63,34,-7,7,35,241,16,4,95
579,The Rolling Stones,"paint it, black",Aftermath,album,spotify:track:63T7DJ1AFDD6Bn8VzG6JE8,0.464,0.795,1.0,-9.267,0.0926,0.0493,0.00244,0.399,0.612,158.691,202267.0,"The Rolling Stones - Paint It, Black (Official Lyric Video)",ABKCOVEVO,434986145.0,3050582.0,87518.0,True,True,834723073.0,Forty Licks,7/26/2023,USA172010502,"3,911",21.6,"1,196,773,729",28,"3,079",,,,,,,,2.0,,,,,,,,,,,0,1864,"paint it, black",album rock,1966,159,80,46,-9,40,61,202,5,9,78
659,Creedence Clearwater Revival,have you ever seen the rain,Pendulum (Expanded Edition),album,spotify:track:2LawezPeJhN4AWuSB0GtAU,0.741,0.697,0.0,-7.028,0.0277,0.0664,2.28e-05,0.133,0.774,116.109,160133.0,Creedence Clearwater Revival - Have You Ever Seen The Rain (Official),CCRVEVO,299246333.0,2268246.0,33609.0,True,True,975300588.0,Chronicle: The 20 Greatest Hits (Remastered 2023 / Hi Res),6/30/2023,USC4R2334181,"4,196",20.6,,,,,,,,,,,,,,,,,,,,"11,085,255",,0,804,have you ever seen the rain,album rock,1970,116,47,74,-13,19,89,160,9,3,71
781,Madonna,frozen,Frozen,single,spotify:track:6lknMmJZALXxx7emwwZWLX,0.706,0.633,1.0,-9.584,0.0419,0.267,0.0192,0.175,0.375,110.005,120157.0,Madonna - Frozen (Official Video) [HD],Madonna,174276639.0,1245864.0,59064.0,True,True,116151341.0,Frozen,12/3/2021,USWB12105753,"1,817",34.1,"171,060,866","62,420","13,385,720",62.0,"39,445,207","832,416","1,812,874","58,132,303","954,943,543","7,699",17.0,"12,696",529,9.0,"15,158",2.0,"17,914,746","3,997",,"6,425,997",,0,368,frozen,dance pop,2009,108,74,59,-8,18,29,379,51,3,55
1147,Luis Fonsi,despacito,VIDA,album,spotify:track:6habFhsOp2NvshLv26DqMb,0.655,0.797,2.0,-4.787,0.153,0.198,0.0,0.067,0.839,177.928,229360.0,Luis Fonsi - Despacito ft. Daddy Yankee,LuisFonsiVEVO,8079649362.0,50788652.0,4252791.0,True,True,1506598267.0,Despacito (Featuring Daddy Yankee),1/13/2017,USUM71607007,50,203.5,"1,747,093,405","178,114","49,464,650",74.0,"9,537,135,721","61,799,279","799,338","78,304,409","1,143,297,071","569,548,901",179.0,"121,234",116,145.0,"1,977,014",118.0,"266,603,596","2,359,900",,"19,622,551",,0,798,despacito,latin,2019,178,80,66,-5,7,84,229,20,15,80
1549,Disturbed,the sound of silence,Immortalized (Deluxe Edition),album,spotify:track:0eZBeB2xFIS65jQHerispi,0.322,0.28,6.0,-9.367,0.0281,0.468,1.1e-06,0.102,0.175,85.794,248467.0,Disturbed  - The Sound Of Silence [Official Music Video],Disturbed,875969536.0,5225744.0,209565.0,True,True,636195740.0,The Sound of Silence (CYRIL Remix),1/1/2015,USRE11500180,"2,022",32.1,"777,947,820","135,133","20,085,121",70.0,"1,442,138,188","9,765,818","102,483","24,598,507","297,856,843","718,331,276",18.0,"53,600",38,27.0,"1,748,168",44.0,,,,,,0,605,the sound of silence,alternative metal,2015,86,28,32,-9,10,18,248,47,3,75
2007,The White Stripes,seven nation army,Elephant,album,spotify:track:3dPQuX8Gs42Y7b454ybpMR,0.743,0.446,4.0,-7.807,0.0683,0.0039,0.118,0.337,0.278,123.596,232107.0,The White Stripes - Seven Nation Army (Official Music Video),The White Stripes,531538957.0,4592162.0,152191.0,True,True,1224350356.0,Elephant,1/1/2003,USVT10300001,"4,030",21.2,"1,657,866,786","206,953","64,036,444",81.0,"339,571,990","4,052,894","263,920","137,323,740","1,394,903,550","5,268,188",275.0,"184,079",124,86.0,"972,676",110.0,"912,422,054","566,339",,"10,108,433",,0,12,seven nation army,alternative rock,2003,124,46,74,-8,26,32,232,1,8,74
2566,Coolio,gangsta's paradise,Gangsta's Paradise,album,spotify:track:1DIXPcTDzTj8ZMHt3PDt8p,0.647,0.514,8.0,-10.05,0.0593,0.0655,0.0,0.398,0.386,79.975,240693.0,Coolio - Gangsta's Paradise (feat. L.V.) [Official Music Video],Tommy Boy,1172798473.0,10144160.0,323685.0,True,True,725102.0,Gangsta's Paradise (25th Anniversary - Remastered),9/25/2020,USTB12000152,"1,945",32.7,"1,675,750,095",506,"66,189",25.0,,,,,,,97.0,,,1.0,"1,689",9.0,"539,169,583","334,159",,,,0,1674,gangsta's paradise,g funk,1995,80,51,65,-10,40,39,241,7,6,80
7988,Rammstein,deutschland,Rammstein,album,spotify:track:2bPGTMB5sFfFYQ2YvSmup0,0.521,0.895,7.0,-5.242,0.0442,5.54e-05,0.349,0.0985,0.237,120.117,322340.0,Rammstein - Deutschland (Official Video),Rammstein Official,294820856.0,3566943.0,,True,True,327410793.0,DEUTSCHLAND,3/28/2019,DEUM71900524,"4,296",20.3,"460,008,347","82,329","13,735,008",71.0,"370,078,966","3,950,188","19,061","2,409,531","46,078,194","4,657,006",43.0,"6,949",12,38.0,"255,480",23.0,"8,786,361","5,083",,"1,215,795",,0,792,deutschland,alternative metal,2019,120,90,52,-5,10,24,322,0,4,72
8009,Justin Timberlake,mirrors,The 20/20 Experience (Deluxe Version),album,spotify:track:4rHZZAmHpZrA3iH5zx8frV,0.574,0.512,5.0,-6.664,0.0503,0.234,0.0,0.0946,0.512,76.899,484147.0,Justin Timberlake - Mirrors (Official Video),justintimberlakeVEVO,1102839661.0,5181690.0,171735.0,True,True,807905112.0,Songs For The Philippines,1/1/2013,USRC11300059,"1,487",38.0,"1,047,154,254","168,622","53,352,470",74.0,"1,401,802,614","7,138,440","912,741","259,542,276","2,060,063,173","1,784,521,360",106.0,"85,485",69,74.0,"484,204",47.0,"478,391,258","378,791",,"14,564,665",,0,548,mirrors,dance pop,2013,77,51,57,-7,9,51,484,23,5,77
