Track,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms
Crawling,-0.24876747244835412,0.3085263504971292,4.0,0.44403070188894517,0.0337,0.0466,3.2e-06,0.536,0.299,-0.5249286333685773,208960.0
BURN IT DOWN,-0.21856114391812886,1.5735549016844468,9.0,0.6855041684754093,0.0534,0.0143,0.0,0.0707,0.585,-0.3583044172726312,230253.0
Creep,-0.6414497433412816,-0.9658727825508351,7.0,-0.5023720326248198,0.0372,0.0097,0.000133,0.129,0.104,-0.9721439736082439,238640.0
No Surprises,-2.212178826912993,-1.1392285469728007,5.0,-0.6580845191500821,0.0278,0.0577,0.00361,0.113,0.118,-1.4932417755894392,229120.0
Karma Police,-1.5778459277782633,-0.6332171264978738,7.0,-0.3278181186618689,0.0258,0.0638,9.32e-05,0.172,0.324,-1.5479607625791625,264067.0
High and Dry,-1.2214112511216058,-1.1860814562760347,4.0,-0.902373371445626,0.0256,0.0724,0.0176,0.0896,0.35,-1.1166642876095145,257480.0
Exit Music (For A Film),-1.9826107300832814,-1.6874075858206383,4.0,-0.8103319155718616,0.0349,0.224,0.122,0.167,0.195,0.03365116773034727,267187.0
Weird Fishes/ Arpeggi,-0.5447894920445608,-0.12252041509262336,11.0,-0.08872690152154951,0.0387,0.772,0.756,0.0908,0.199,1.0933879417036505,318187.0
Jigsaw Falling Into Place,-0.9616368257616688,0.917614171439171,11.0,0.33141527352575123,0.0479,0.108,0.00416,0.0741,0.807,1.5224537476545696,248893.0
Fake Plastic Trees,-0.9555955600556237,-1.9076162595458381,2.0,-1.0777935579344475,0.0297,0.167,0.0997,0.202,0.135,-1.5906814540893603,290707.0
Just,-1.9946932614953714,0.6130702609681503,7.0,0.1520968606705115,0.0862,0.000401,0.012,0.0763,0.359,1.8620900047637303,234800.0
Nude,-0.6354084776352366,-1.3781783844192939,4.0,-0.4698868129046676,0.0342,0.832,0.579,0.0857,0.167,0.2626327223043903,255387.0
Highway to Hell,-0.2850150666846244,1.2971227367953666,6.0,0.6112212993819948,0.133,0.061,0.00158,0.156,0.423,-0.16491217295194122,208400.0
Thunderstruck,-0.7199861975198671,1.1893610453979284,4.0,0.5284922731613407,0.0364,0.000147,0.0117,0.217,0.259,0.43642211767261707,292880.0
Back In Black,-1.8799092130805155,0.29915576863648236,9.0,0.41955850303309733,0.047,0.011,0.00965,0.0828,0.763,2.290784032544862,255493.0
You Shook Me All Night Long,-0.5387482263385157,0.6130702609681503,7.0,0.45615851725113526,0.0574,0.00287,0.000513,0.39,0.755,0.22826014060670796,210173.0
T.N.T.,0.8024127604034836,0.5755879335255631,9.0,0.5191798435082304,0.302,0.153,0.000108,0.101,0.435,0.19463111524860108,214667.0
Hells Bells,-1.402649222302957,1.1097110995824304,4.0,0.6166355026686868,0.0475,0.00532,0.0055,0.273,0.303,-0.4677761892675134,312293.0
