Artist,Stream,Views,Likes,Comments,Licensed,official_video
Shakira,220084336.0,135287306.0,437988.0,25673.0,True,True
Shakira,229134152.0,359765.0,4970.0,245.0,False,False
Machine Gun Kelly,574531280.0,102439463.0,1072165.0,33820.0,True,True
Machine Gun Kelly,426759364.0,111974897.0,1198821.0,47830.0,True,True
Machine Gun Kelly,90825980.0,20170299.0,294321.0,10253.0,True,True
Machine Gun Kelly,382579404.0,206242355.0,1923118.0,31427.0,True,True
Machine Gun Kelly,254290993.0,68116200.0,854345.0,30673.0,True,True
Machine Gun Kelly,280845476.0,117833946.0,1278216.0,71379.0,True,True
Machine Gun Kelly,615784555.0,449712619.0,3621125.0,110107.0,True,True
Machine Gun Kelly,67878913.0,15391210.0,182210.0,7137.0,True,True
Machine Gun Kelly,212221697.0,35856519.0,335937.0,3392.0,True,True
Machine Gun Kelly,62736773.0,19671018.0,273280.0,13598.0,True,True
Nicky Jam,865695837.0,2133459242.0,9883068.0,262847.0,True,True
Nicky Jam,765561212.0,1381668642.0,4089045.0,96876.0,True,True
Nicky Jam,418186764.0,736730327.0,2634233.0,56053.0,True,True
Nicky Jam,185931694.0,592005.0,6740.0,96.0,False,False
Nicky Jam,350576786.0,321420163.0,1811446.0,31069.0,True,True
Nicky Jam,136025763.0,115543124.0,748538.0,14194.0,True,True
Nicky Jam,37382738.0,61711565.0,435031.0,5375.0,True,True
Nicky Jam,479847676.0,1546036758.0,4733493.0,168819.0,True,True
Nicky Jam,89466323.0,24706293.0,557112.0,17598.0,False,False
The Beatles,942898131.0,114971785.0,1126554.0,32910.0,True,True
The Beatles,526788025.0,131925109.0,1075941.0,15452.0,True,True
The Beatles,574936342.0,31607772.0,383619.0,3211.0,True,True
The Beatles,475131674.0,42856675.0,475089.0,5938.0,True,True
The Beatles,341963190.0,53228361.0,490790.0,4309.0,True,True
The Beatles,326733164.0,33852949.0,365297.0,4522.0,True,True
The Beatles,266426563.0,63223118.0,463315.0,8607.0,True,True
The Beatles,486111943.0,56888766.0,460662.0,6569.0,True,True
The Beatles,334903879.0,28799448.0,275921.0,4031.0,True,True
The Beatles,233382117.0,96849734.0,675186.0,26651.0,True,True
Pitbull,777641580.0,1007596168.0,4265538.0,162078.0,True,True
Pitbull,1120973873.0,1405539965.0,5671596.0,158456.0,True,True
Pitbull,981156901.0,253293371.0,1423079.0,25528.0,True,True
Pitbull,481224452.0,704875181.0,2999847.0,113202.0,True,True
Pitbull,347393726.0,866480662.0,2961540.0,153962.0,True,True
Pitbull,424022714.0,307624507.0,1576522.0,30102.0,True,True
Pitbull,222056078.0,894756316.0,4925915.0,267026.0,True,True
Pitbull,374912951.0,313590021.0,1533812.0,45324.0,True,True
Pitbull,193172998.0,300032949.0,1078390.0,36962.0,True,True
Pitbull,52166142.0,52214351.0,688783.0,16459.0,False,True
Sean Paul,851711837.0,1120854023.0,7147862.0,108564.0,True,True
Sean Paul,590578908.0,361314925.0,2124819.0,38673.0,True,True
Sean Paul,122450231.0,165860569.0,2514731.0,32073.0,True,True
Sean Paul,381155556.0,208573237.0,1324227.0,20700.0,True,True
Sean Paul,266413452.0,505918510.0,2235710.0,59894.0,True,True
Sean Paul,49412471.0,306887054.0,1317175.0,17399.0,True,True
Sean Paul,51339097.0,306887054.0,1317175.0,17399.0,True,True
Sean Paul,176824685.0,314611933.0,2018040.0,29163.0,True,True
Sean Paul,47517159.0,81787112.0,668740.0,12932.0,True,True
Sean Paul,336056798.0,256405663.0,1928933.0,20224.0,True,True
Elvis Presley,642724292.0,363854960.0,3486602.0,125337.0,True,True
Elvis Presley,293604060.0,46348788.0,209579.0,7591.0,True,True
Elvis Presley,115786722.0,282465.0,4533.0,155.0,True,True
Elvis Presley,355940570.0,7484414.0,84407.0,1872.0,True,True
Elvis Presley,217996516.0,3649438.0,17369.0,811.0,True,True
Elvis Presley,126445901.0,12982178.0,152547.0,3757.0,False,False
Elvis Presley,19601041.0,43935538.0,374007.0,22080.0,True,True
Elvis Presley,107417556.0,14332854.0,370274.0,4350.0,True,True
