Track,Artist,Stream,Views
Lollipop,Lil Wayne,387665450.0,524707468.0
A Milli,Lil Wayne,432215037.0,11856519.0
Scared of the Dark (feat. XXXTENTACION),Lil Wayne,205327632.0,7163.0
ay! (feat. Lil Wayne),Lil Wayne,62736773.0,19671055.0
Right Above It,Lil Wayne,238468772.0,46104250.0
Snowman,Sia,644668215.0,215540369.0
Unstoppable,Sia,731776557.0,151276432.0
Chandelier,Sia,1404231856.0,2581536372.0
Dusk Till Dawn (feat. Sia) - Radio Edit,Sia,1378235205.0,1953769806.0
Cheap Thrills,Sia,1538447140.0,1788225602.0
"Genius (feat. Sia, Diplo, and Labrinth)",Sia,411692294.0,331492365.0
Elastic Heart,Sia,733035056.0,1261263786.0
Unstoppable - R3HAB Remix,Sia,34819346.0,1298279.0
Del Mar,Sia,,106746356.0
Santa's Coming for Us,Sia,,50685969.0
Dreams - 2004 Remaster,Fleetwood Mac,1145814659.0,41698012.0
The Chain - 2004 Remaster,Fleetwood Mac,800258505.0,63168341.0
Everywhere - 2017 Remaster,Fleetwood Mac,,53248522.0
Go Your Own Way - 2004 Remaster,Fleetwood Mac,732367244.0,5109177.0
Landslide,Fleetwood Mac,512338633.0,76081765.0
Don't Stop - 2004 Remaster,Fleetwood Mac,252302426.0,5410145.0
Little Lies - 2017 Remaster,Fleetwood Mac,298619427.0,49292398.0
Rhiannon,Fleetwood Mac,302893047.0,8490005.0
Gypsy,Fleetwood Mac,213673856.0,81512369.0
Never Going Back Again - 2004 Remaster,Fleetwood Mac,189357854.0,2246595.0
Dancing Queen,ABBA,877774503.0,679721429.0
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,519184335.0,361288115.0
Mamma Mia,ABBA,375576936.0,272724820.0
Angeleyes,ABBA,135342126.0,7540645.0
The Winner Takes It All,ABBA,295039369.0,115380254.0
Take A Chance On Me,ABBA,250065301.0,142034489.0
Lay All Your Love On Me,ABBA,252601051.0,2968673.0
Waterloo,ABBA,222521002.0,77339439.0
Chiquitita,ABBA,210743145.0,219881780.0
Super Trouper,ABBA,208513838.0,90572907.0
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,471405587.0,13683856.0
Have Yourself A Merry Little Christmas - Remastered 1999,Frank Sinatra,126469786.0,6422826.0
Jingle Bells - Remastered 1999,Frank Sinatra,177473609.0,15255986.0
My Way,Frank Sinatra,329370178.0,40356494.0
Somethin' Stupid,Frank Sinatra,182673374.0,420791.0
Santa Claus Is Comin' to Town,Frank Sinatra,88041370.0,1679701.0
Fly Me To The Moon (In Other Words),Frank Sinatra,506872698.0,135669950.0
Strangers In The Night,Frank Sinatra,143712745.0,14266051.0
That's Life,Frank Sinatra,212972149.0,45558716.0
Silent Night - 1999 Remaster,Frank Sinatra,42053170.0,43026.0
10:35,Tiësto,107996524.0,12850997.0
The Motto,Tiësto,,124255684.0
Don't Be Shy,Tiësto,481307838.0,329901294.0
Lay Low,Tiësto,,2192535.0
The Business,Tiësto,980693352.0,236818708.0
Hot In It,Tiësto,117679131.0,5891427.0
Pump It Louder,Tiësto,27908495.0,2099152.0
Another Love - Tiësto Remix,Tiësto,38610617.0,2182357.0
Baila Conmigo,Tiësto,,2087256.0
Jackie Chan,Tiësto,782756255.0,52275235.0
Cold Heart - PNAU Remix,Elton John,1357658479.0,396909270.0
I'm Still Standing,Elton John,649281620.0,170453554.0
Hold Me Closer,Elton John,190102352.0,15181510.0
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,828968108.0,129299713.0
Your Song,Elton John,,1591571.0
Don't Go Breaking My Heart,Elton John,562468940.0,87086359.0
Tiny Dancer,Elton John,606925181.0,155579484.0
Step Into Christmas,Elton John,236457156.0,19096844.0
Goodbye Yellow Brick Road - Remastered 2014,Elton John,242563343.0,17035966.0
Merry Christmas,Elton John,133344222.0,57457813.0
Ni**as In Paris,JAY-Z,1054470731.0,374189685.0
Empire State Of Mind,JAY-Z,678424384.0,95231588.0
Numb / Encore,JAY-Z,778880225.0,47752493.0
Run This Town,JAY-Z,296375103.0,17001975.0
No Church In The Wild,JAY-Z,293182456.0,106953199.0
4:44,JAY-Z,,25189646.0
03' Bonnie & Clyde,JAY-Z,115228530.0,22824654.0
Otis,JAY-Z,170592836.0,224971063.0
Gotta Have It,JAY-Z,128273029.0,681129.0
Love All (with JAY-Z),JAY-Z,114490460.0,7101653.0
Creepin' (with The Weeknd & 21 Savage),21 Savage,279832635.0,17011354.0
Rich Flex,21 Savage,311694937.0,3926832.0
Jimmy Cooks (feat. 21 Savage),21 Savage,413205085.0,12454143.0
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],21 Savage,81603704.0,5384334.0
Pussy & Millions (feat. Travis Scott),21 Savage,,24885008.0
Glock In My Lap,21 Savage,182739405.0,24885008.0
On BS,21 Savage,,213119.0
Major Distribution,21 Savage,107919519.0,7706203.0
Spin Bout U,21 Savage,87618118.0,1111996.0
Knife Talk (with 21 Savage ft. Project Pat),21 Savage,501420741.0,74244853.0
Bound 2,Kanye West,,105206228.0
Heartless,Kanye West,720756420.0,200458945.0
Flashing Lights,Kanye West,543286408.0,123256878.0
Ni**as In Paris,Kanye West,1054470731.0,374189685.0
Father Stretch My Hands Pt. 1,Kanye West,627167330.0,47207589.0
Stronger,Kanye West,1123296395.0,432609094.0
I Wonder,Kanye West,,13652003.0
Violent Crimes,Kanye West,335460654.0,343239.0
Homecoming,Kanye West,379099876.0,101552405.0
Gold Digger,Kanye West,853381478.0,323806093.0
Ahora Te Puedes Marchar,Luis Miguel,473691093.0,562212517.0
La Incondicional,Luis Miguel,392257514.0,157325196.0
Hasta Que Me Olvides,Luis Miguel,303652374.0,1006758.0
La Media Vuelta,Luis Miguel,229810217.0,130543675.0
Culpable O No - Miénteme Como Siempre,Luis Miguel,268107480.0,375491.0
Por Debajo De La Mesa,Luis Miguel,235730264.0,117161559.0
Tengo Todo Excepto a Ti,Luis Miguel,189533009.0,47486131.0
No Sé Tú,Luis Miguel,172275945.0,140665690.0
La bikina - En vivo,Luis Miguel,106123325.0,207911622.0
Sabor a Mi,Luis Miguel,127896578.0,9656892.0
CUFF IT,Beyoncé,,8893257.0
Crazy In Love (feat. Jay-Z),Beyoncé,836260550.0,669084413.0
ALIEN SUPERSTAR,Beyoncé,116409094.0,15896207.0
BREAK MY SOUL,Beyoncé,,1230431.0
Halo,Beyoncé,1257746758.0,1357273902.0
Love On Top,Beyoncé,,514532529.0
ENERGY (feat. Beam),Beyoncé,,5840552.0
Perfect Duet (Ed Sheeran & Beyoncé),Beyoncé,,231580933.0
Drunk in Love (feat. Jay-Z),Beyoncé,520085958.0,687031207.0
Run the World (Girls),Beyoncé,480726300.0,554929045.0
ULALA (OOH LA LA),Daddy Yankee,,9058435.0
La Santa,Daddy Yankee,664205050.0,10845.0
Gasolina,Daddy Yankee,536817412.0,23852149.0
X ÚLTIMA VEZ,Daddy Yankee,295869713.0,87084154.0
"Lo Que Pasó, Pasó",Daddy Yankee,315104207.0,1559861.0
Despacito,Daddy Yankee,1506598267.0,8079646911.0
Con Calma,Daddy Yankee,1170562263.0,2626439287.0
Tu Príncipe,Daddy Yankee,203988701.0,39763039.0
Ella Me Levanto,Daddy Yankee,201700378.0,864990.0
Used (feat. Don Toliver),Don Toliver,,904204.0
No Idea,Don Toliver,682479132.0,284033349.0
After Party,Don Toliver,560791223.0,78483083.0
"Lemonade (feat. Gunna, Don Toliver & NAV)",Don Toliver,1142825569.0,188678850.0
Do It Right,Don Toliver,15859788.0,8818478.0
Cardigan,Don Toliver,171091255.0,24139842.0
Honest (feat. Don Toliver),Don Toliver,92010224.0,30608215.0
Mystery Lady,Don Toliver,141369736.0,31440593.0
Drugs N Hella Melodies (feat. Kali Uchis),Don Toliver,77395440.0,19221097.0
Scrape It Off (feat. Lil Uzi Vert & Don Toliver),Don Toliver,50148408.0,712131.0
La Mitad,Camilo,,166098054.0
Desconocidos,Camilo,665804353.0,902197206.0
Aeropuerto,Camilo,31400753.0,15736532.0
Índigo,Camilo,205577936.0,171403894.0
Si Me Dices Que Sí,Camilo,,129179970.0
El Mismo Aire - con Pablo Alborán,Camilo,268237254.0,174663952.0
Bebiendo Sola,Camilo,13702635.0,6825015.0
Color Esperanza 2020,Camilo,89466323.0,24706293.0
Tattoo - Remix with Camilo,Camilo,530878132.0,794818462.0
Hold Me Closer,Britney Spears,190102352.0,15181510.0
Toxic,Britney Spears,893129259.0,593978662.0
Gimme More,Britney Spears,424168867.0,294678986.0
...Baby One More Time,Britney Spears,588819207.0,790774922.0
Oops!...I Did It Again,Britney Spears,,398575571.0
My Only Wish (This Year),Britney Spears,,1189091.0
Womanizer,Britney Spears,423188557.0,355445991.0
Circus,Britney Spears,262573012.0,215417979.0
Criminal,Britney Spears,,200917975.0
If U Seek Amy,Britney Spears,145511234.0,127036180.0
Pepas,Farruko,1174282383.0,518925108.0
Diles,Farruko,628424773.0,986386304.0
Si Se Da - Remix,Farruko,396374422.0,1202913849.0
Fantasias,Farruko,569523901.0,567182812.0
Calma - Remix,Farruko,1048932845.0,2661002503.0
On My Way,Farruko,529555988.0,496745873.0
Si Me Dices Que Sí,Farruko,290126900.0,129179970.0
Passion Whine,Farruko,195678858.0,528082104.0
Color Esperanza 2020,Farruko,89466323.0,24706293.0
Patio de la Cárcel - Tangos,Farruko,13182610.0,10487689.0
"All I Want - From ""High School Musical: The Musical: The Series""",Disney,528853212.0,20369344.0
I'll Make a Man Out of You,Disney,266083896.0,154690126.0
Part of Your World,Disney,205824087.0,239113558.0
If Only,Disney,121359658.0,228093498.0
Under the Sea,Disney,233844328.0,320120240.0
Zero To Hero,Disney,101142300.0,43190273.0
I Won't Say (I'm In Love),Disney,,1548721.0
A Whole New World - Remastered 2022,Disney,,14170.0
Be Our Guest,Disney,,47339991.0
Gotta Go My Own Way,Disney,147021007.0,31222205.0
Under The Influence,Chris Brown,646937556.0,83793080.0
Superhero (Heroes & Villains) [with Future & Chris Brown],Chris Brown,139674263.0,2242438.0
No Guidance (feat. Drake),Chris Brown,866702211.0,445294846.0
Nostálgico,Chris Brown,381634599.0,89848525.0
Go Crazy,Chris Brown,581510489.0,161055631.0
Forever,Chris Brown,,310110524.0
Wet The Bed (feat. Ludacris),Chris Brown,92083585.0,62379960.0
Under The Influence (Body Language),Chris Brown,36852704.0,83793080.0
Monalisa,Chris Brown,44683570.0,7338751.0
With You,Chris Brown,327435679.0,595358298.0
The Color Violet,Tory Lanez,208337920.0,192177.0
Lavender Sunflower,Tory Lanez,44638153.0,13642.0
Say It,Tory Lanez,379059402.0,294691541.0
Broke In A Minute,Tory Lanez,273237961.0,30154731.0
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Tory Lanez,638746688.0,256025742.0
Lady Of Namek,Tory Lanez,53989958.0,17773546.0
In For It,Tory Lanez,,1516174.0
The Take (feat. Chris Brown),Tory Lanez,256262137.0,58687130.0
I LIKE,Tory Lanez,17960938.0,1985424.0
And This is Just The Intro,Tory Lanez,48972127.0,9379911.0
All I Want for Christmas Is You,Mariah Carey,1437977604.0,753218999.0
Christmas (Baby Please Come Home),Mariah Carey,226569574.0,17209207.0
Fantasy,Mariah Carey,257187137.0,104948400.0
Always Be My Baby,Mariah Carey,301955185.0,306941658.0
We Belong Together,Mariah Carey,431793600.0,557340303.0
I Know What You Want (feat. Flipmode Squad),Mariah Carey,227592322.0,295026099.0
Without You,Mariah Carey,,379787199.0
Obsessed,Mariah Carey,231493779.0,204281507.0
Hero,Mariah Carey,,339244228.0
O Holy Night,Mariah Carey,102088157.0,106246436.0
Mallipoo,A.R. Rahman,41725242.0,86199720.0
Enna Sona,A.R. Rahman,91092219.0,77095861.0
Param Sundari,A.R. Rahman,78684300.0,435786754.0
Rait Zara Si,A.R. Rahman,85746449.0,82721044.0
Raanjhanaa,A.R. Rahman,52826792.0,26504186.0
Jashn-E-Bahaaraa,A.R. Rahman,64456952.0,17107007.0
"Ponni Nadhi (From ""Ponniyin Selvan Part -1"") - Tamil",A.R. Rahman,33410129.0,16992074.0
Ennodu Nee Irundhaal,A.R. Rahman,37409758.0,65094477.0
Kun Faya Kun,A.R. Rahman,,333829289.0
Tere Bina,A.R. Rahman,47727856.0,94808515.0
Kesariya,Pritam,237685270.0,404999375.0
Shayad,Pritam,,9928703.0
Kabira,Pritam,106694938.0,368043095.0
Tum Se Hi,Pritam,105143682.0,65425800.0
Khairiyat,Pritam,141640304.0,878651534.0
Tera Hone Laga Hoon,Pritam,79477830.0,349523411.0
Deva Deva,Pritam,60032339.0,84218237.0
Raabta,Pritam,74341580.0,13619357.0
Kalank (Title Track),Pritam,114548526.0,73814491.0
Bhool Bhulaiyaa 2 Title Track,Pritam,75285958.0,240651292.0
Saibo,Shreya Ghoshal,91740940.0,66364441.0
Pal,Shreya Ghoshal,,79273746.0
Rasiya,Shreya Ghoshal,28781713.0,33160840.0
Param Sundari,Shreya Ghoshal,78684300.0,435786754.0
Hasi - Female Version,Shreya Ghoshal,42953279.0,12680162.0
Munbe Vaa,Shreya Ghoshal,46214786.0,808247.0
Tujh Mein Rab Dikhta Hai - Ii,Shreya Ghoshal,25942155.0,4548435.0
Main Agar Kahoon,Shreya Ghoshal,49993575.0,131716526.0
Piya O Re Piya,Shreya Ghoshal,32957897.0,7876.0
