track,artist,album,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_sec,stream,views,likes,comments,tiktok_views,tiktok_posts,release_date,tiktok_likes
just canât get enough,black eyed peas,the beginning,0.659,0.628,0.0,-8.685,0.179,0.186,0.0,0.105,0.262,94.05,219.427,331578264.0,292211575.0,1594576.0,70720.0,,,,
pump it,black eyed peas,monkey business,0.649,0.931,1.0,-3.15,0.181,0.0093,0.0,0.751,0.744,153.645,213.067,492130246.0,755836314.0,4746197.0,133551.0,,,,
pump it louder,black eyed peas,pump it louder,0.66,0.942,4.0,-2.273,0.185,0.00789,1.76e-05,0.834,0.543,126.017,158.571,27908495.0,2099141.0,61252.0,1238.0,,,,
meet me halfway,black eyed peas,the e.n.d. (the energy never dies),0.798,0.629,11.0,-6.857,0.0735,0.00474,2.29e-05,0.324,0.4,130.002,284.373,363930118.0,458724349.0,2094991.0,73011.0,,,,
simply the best,black eyed peas,elevation,0.872,0.789,1.0,-6.047,0.132,0.203,2.39e-05,0.125,0.646,126.042,236.19,18501860.0,43226385.0,242932.0,38381.0,,,,
billie jean,michael jackson,thriller,0.932,0.457,11.0,-9.62,0.0541,0.0173,0.0436,0.0414,0.884,117.002,294.227,1302677366.0,1300732161.0,9523245.0,508425.0,,,,
chicago,michael jackson,xscape,0.608,0.756,7.0,-2.675,0.176,0.0784,0.0,0.187,0.55,176.086,245.507,103974637.0,545655.0,7314.0,386.0,,,,
beat it,michael jackson,thriller,0.776,0.711,3.0,-9.03,0.0473,0.0242,0.000353,0.234,0.901,138.728,258.4,826832314.0,905692299.0,6656468.0,259358.0,,,,
smooth criminal - 2012 remaster,michael jackson,bad (remastered),0.853,0.981,8.0,-3.947,0.0751,0.247,0.468,0.306,0.595,118.193,257.76,526030670.0,84652754.0,672624.0,25952.0,,,,
rock with you - single version,michael jackson,off the wall,0.808,0.535,1.0,-12.521,0.0353,0.179,9.91e-05,0.158,0.848,114.031,220.627,346137424.0,301845823.0,2269865.0,87490.0,,,,
don't stop 'til you get enough,michael jackson,off the wall,0.878,0.821,11.0,-9.875,0.089,0.126,0.0461,0.183,0.947,118.881,365.467,389644450.0,349102050.0,2254295.0,89160.0,,,,
they don't care about us,michael jackson,"history - past, present and future - book i",0.859,0.905,0.0,-5.539,0.129,0.205,0.00837,0.322,0.731,89.946,284.16,256361972.0,978680025.0,8312571.0,335112.0,,,,
remember the time,michael jackson,dangerous,0.831,0.921,5.0,-2.383,0.0582,0.153,0.00224,0.305,0.795,108.002,239.227,224254298.0,504057332.0,3085718.0,127080.0,,,,
the way you make me feel - 2012 remaster,michael jackson,bad (remastered),0.877,0.854,1.0,-4.523,0.147,0.0544,5.5e-05,0.144,0.54,114.472,298.12,349629692.0,436325398.0,2515830.0,94765.0,,,,
love never felt so good,michael jackson,xscape,0.775,0.719,7.0,-6.212,0.0435,0.132,1.79e-06,0.0662,0.712,117.513,246.027,280500270.0,343328494.0,2121502.0,53821.0,,,,
just give me a reason (feat. nate ruess),p!nk,the truth about love,0.778,0.547,2.0,-7.273,0.0489,0.346,0.000302,0.132,0.441,95.002,242.733,995490565.0,1518313784.0,6420621.0,166423.0,,,,
raise your glass,p!nk,raise your glass,0.7,0.709,7.0,-5.006,0.0838,0.0048,0.0,0.029,0.624,122.019,202.96,502735560.0,237232986.0,1026177.0,47667.0,,,,
so what,p!nk,funhouse (expanded edition),0.534,0.87,11.0,-3.078,0.0425,0.000334,0.0,0.241,0.462,126.019,215.16,471672024.0,432775314.0,2187945.0,60960.0,,,,
who knew,p!nk,i'm not dead,0.688,0.734,9.0,-4.569,0.0274,0.00462,0.0,0.0756,0.46,140.004,208.493,219363750.0,168736063.0,611231.0,20095.0,,,,
true love (feat. lily allen),p!nk,the truth about love,0.457,0.823,9.0,-4.76,0.311,0.00144,0.0,0.108,0.578,192.205,230.733,170002964.0,149977268.0,938718.0,31361.0,,,,
superman,eminem,the eminem show,0.802,0.755,4.0,-3.138,0.0564,0.0215,0.0,0.295,0.58,130.027,350.32,466021760.0,139257221.0,950561.0,35404.0,,,,
till i collapse,eminem,the eminem show,0.548,0.847,1.0,-3.237,0.186,0.0622,0.0,0.0816,0.1,171.447,297.787,1548871694.0,1931315.0,18992.0,291.0,,,,
stan,eminem,the marshall mathers lp,0.78,0.768,6.0,-4.325,0.238,0.0371,2.34e-06,0.518,0.507,80.063,404.107,799979337.0,623027280.0,5152714.0,199113.0,,,,
sing for the moment,eminem,the eminem show,0.668,0.824,5.0,-4.164,0.137,0.0017,3.05e-06,0.0426,0.185,163.961,339.547,357737050.0,454015875.0,2471743.0,99418.0,,,,
"feels (feat. pharrell williams, katy perry & big sean)",pharrell williams,funk wav bounces vol.1,0.893,0.745,11.0,-3.105,0.0571,0.0642,0.0,0.0943,0.872,101.018,223.413,981287133.0,673495248.0,4097957.0,105475.0,,,,
"stay with me (with justin timberlake, halsey & pharrell)",pharrell williams,funk wav bounces vol. 2,0.81,0.733,9.0,-6.338,0.0444,0.276,6.73e-06,0.288,0.9,125.975,229.283,99934776.0,26641550.0,315368.0,9132.0,,,,
hit different,pharrell williams,hit different,0.679,0.516,0.0,-6.371,0.0452,0.199,0.0,0.0965,0.716,120.074,202.008,198332490.0,121559320.0,1081676.0,36266.0,,,,
neon guts (feat. pharrell williams),pharrell williams,luv is rage 2,0.859,0.563,1.0,-6.635,0.112,0.0541,0.0,0.0685,0.412,119.934,258.789,219355874.0,35793144.0,431472.0,11252.0,,,,
juggernaut (feat. lil uzi vert & pharrell williams),pharrell williams,call me if you get lost,0.827,0.571,11.0,-7.949,0.366,0.0195,0.0,0.166,0.62,142.034,146.419,99577335.0,11408003.0,477302.0,12628.0,,,,
just a cloud away,pharrell williams,just a cloud away,0.89,0.46,2.0,-8.155,0.0359,0.432,0.0,0.11,0.677,112.555,176.078,105629259.0,2672481.0,63065.0,75.0,,,,
frontin' (feat. jay-z) - club mix,pharrell williams,the neptunes present... clones,0.894,0.404,9.0,-5.913,0.13,0.453,1.57e-06,0.0801,0.759,102.009,236.507,114177468.0,59095041.0,433116.0,13530.0,,,,
lovely (with khalid),khalid,lovely (with khalid),0.351,0.296,4.0,-10.109,0.0333,0.934,0.0,0.095,0.12,115.284,200.186,2110573779.0,1721382178.0,24425840.0,561909.0,,,,
numb,khalid,numb,0.912,0.774,0.0,-4.673,0.0455,0.121,0.0127,0.101,0.632,119.966,155.589,203066841.0,25212794.0,418647.0,7041.0,,,,
silence,khalid,silence,0.52,0.761,4.0,-3.093,0.0853,0.256,4.96e-06,0.17,0.286,141.971,180.823,1322057199.0,129183587.0,1480652.0,37678.0,,,,
eastside (with halsey & khalid),khalid,friends keep secrets,0.632,0.686,6.0,-7.665,0.243,0.549,0.0,0.2,0.329,89.949,170.77,1424962511.0,632400004.0,2781127.0,34795.0,,,,
8teen,khalid,american teen,0.83,0.585,1.0,-5.802,0.0366,0.225,0.00209,0.0576,0.642,105.03,228.6,586480399.0,1381628.0,12115.0,158.0,,,,
beautiful people (feat. khalid),khalid,no.6 collaborations project,0.64,0.647,5.0,-8.114,0.186,0.124,0.0,0.0801,0.546,92.979,197.867,1241240312.0,353454004.0,2754251.0,54867.0,,,,
"shakira: bzrp music sessions, vol. 53",shakira,"shakira: bzrp music sessions, vol. 53",0.778,0.632,2.0,-5.6,0.0493,0.274,0.0,0.0915,0.498,122.104,218.289,196761853.0,252068988.0,9415668.0,525670.0,,,,
monotonã­a,shakira,monotonã­a,0.873,0.695,0.0,-4.207,0.0459,0.419,1.23e-06,0.211,0.823,131.963,158.805,220692224.0,189132077.0,3670104.0,161071.0,,,,
don't you worry,shakira,elevation,0.831,0.868,11.0,-5.282,0.0325,0.176,0.0,0.184,0.483,131.971,194.438,162685755.0,144690551.0,1327396.0,57072.0,,,,
dia de enero,shakira,"fijaciã³n oral, vol. 1",0.687,0.361,10.0,-11.589,0.0792,0.35,1.11e-05,0.11,0.526,165.747,173.133,138360843.0,151765834.0,507258.0,20625.0,,,,
chantaje (feat. maluma),shakira,el dorado,0.852,0.773,8.0,-2.921,0.0776,0.187,3.05e-05,0.159,0.907,102.034,195.84,859799057.0,2805793003.0,10370533.0,404270.0,,,,
inevitable,shakira,donde estan los ladrones,0.595,0.461,6.0,-7.786,0.0641,0.269,0.000149,0.123,0.338,91.976,192.867,220084336.0,135287306.0,437988.0,25673.0,,,,
antologia,shakira,pies descalzos,0.839,0.403,0.0,-11.059,0.0308,0.5,1.81e-06,0.0786,0.575,97.967,254.24,229134152.0,359765.0,4970.0,245.0,,,,
my ex's best friend (with blackbear),machine gun kelly,tickets to my downfall,0.731,0.675,5.0,-5.134,0.0434,0.00473,0.0,0.141,0.298,124.939,139.461,574531280.0,102439463.0,1072165.0,33820.0,,,,
i think i'm okay (with yungblud & travis barker),machine gun kelly,hotel diablo,0.628,0.744,7.0,-4.718,0.0379,0.0257,0.0,0.313,0.277,119.921,169.397,426759364.0,111974897.0,1198821.0,47830.0,,,,
maybe (feat. bring me the horizon),machine gun kelly,mainstream sellout,0.601,0.92,5.0,-4.802,0.0505,0.000735,0.0,0.0998,0.537,88.014,170.134,90825980.0,20170299.0,294321.0,10253.0,,,,
"home (with machine gun kelly, x ambassadors & bebe rexha)",machine gun kelly,"home (with machine gun kelly, x ambassadors & bebe rexha) [from bright: the album]",0.653,0.718,3.0,-5.232,0.213,0.00413,0.0,0.0537,0.216,82.034,202.805,382579404.0,206242355.0,1923118.0,31427.0,,,,
forget me too (feat. halsey),machine gun kelly,tickets to my downfall,0.654,0.875,1.0,-4.845,0.0744,0.000417,0.0086,0.194,0.522,99.975,171.621,254290993.0,68116200.0,854345.0,30673.0,,,,
bloody valentine,machine gun kelly,tickets to my downfall,0.533,0.858,2.0,-4.212,0.0766,0.00021,0.0,0.148,0.506,160.057,205.159,280845476.0,117833946.0,1278216.0,71379.0,,,,
bad things (with camila cabello),machine gun kelly,bloom,0.697,0.691,2.0,-4.757,0.146,0.214,0.0,0.185,0.305,137.853,239.293,615784555.0,449712619.0,3621125.0,110107.0,,,,
make up sex (feat. blackbear),machine gun kelly,mainstream sellout,0.665,0.678,5.0,-4.122,0.0315,0.00156,0.0,0.474,0.682,131.986,122.57,67878913.0,15391210.0,182210.0,7137.0,,,,
"f*ck you, goodbye (feat. machine gun kelly)",machine gun kelly,f*ck love 3+: over you,0.721,0.632,5.0,-6.695,0.0358,0.0693,0.0,0.291,0.296,92.057,144.86,212221697.0,35856519.0,335937.0,3392.0,,,,
